"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D9";9;2220;6,42;8,64;"verse"
"D9";9;1970;9,51;11,48;"verse"
"D9";9;1920;12,27;14,19;"verse"
"D9";9;2010;14,69;16,7;"verse"
"D9";9;1860;17,42;19,28;"verse"
"D9";8;1720;19,87;21,59;"verse"
"D9";9;1970;22,48;24,45;"verse"
"D9";8;1740;24,53;26,27;"verse"
"D9";9;1920;27,12;29,04;"verse"
"D9";8;1740;29,47;31,21;"verse"
"D9";8;1900,00000000001;32,23;34,13;"verse"
"D9";9;1910;34,9;36,81;"verse"
"D9";9;1989,99999999999;37,38;39,37;"verse"
"D9";9;2030;40,05;42,08;"verse"
"D9";9;2010;42,95;44,96;"verse"
"D9";10;2410;45,75;48,16;"verse"
"D9";9;2090;49,18;51,27;"verse"
"D9";9;1780;51,31;53,09;"verse"
"D9";8;2110;53,88;55,99;"verse"
"D9";8;1860,00000000001;56,48;58,34;"verse"
"D9";9;2270;58,83;61,1;"verse"
"D9";8;2060;61,32;63,38;"verse"
"D9";8;1950;64,49;66,44;"verse"
"D9";9;2950;67,22;70,17;"verse"
"D9";9;2560;70,32;72,88;"verse"
"D9";9;2180,00000000001;73,38;75,56;"verse"
"D1";10;2280;3,44;5,72;"prose"
"D1";3;770;6,1;6,87;"prose"
"D1";5;1310;7,28;8,59;"prose"
"D1";8;2130;8,96;11,09;"prose"
"D1";7;1180;11,66;12,84;"prose"
"D1";7;1340;13,45;14,79;"prose"
"D1";6;1330;15,06;16,39;"prose"
"D1";25;4580;17,02;21,6;"prose"
"D1";6;1080;22,04;23,12;"prose"
"D1";2;449,999999999999;23,41;23,86;"prose"
"D1";3;680;24;24,68;"prose"
"D1";4;1090;25,2;26,29;"prose"
"D1";11;2250;26,9;29,15;"prose"
"D1";7;1500;29,39;30,89;"prose"
"D1";24;5120;31,29;36,41;"prose"
"D1";8;2030;37,24;39,27;"prose"
"D1";6;1170;39,64;40,81;"prose"
"D1";6;1150;41,22;42,37;"prose"
"D1";19;4890;42,65;47,54;"prose"
"D1";7;1670;48,35;50,02;"prose"
"D1";10;1880;50,35;52,23;"prose"
"D1";9;1590;52,47;54,06;"prose"
"D1";8;1980;54,63;56,61;"prose"
"D1";3;789,999999999999;56,76;57,55;"prose"
"D1";8;1640;57,9;59,54;"prose"
"D1";5;990,000000000002;59,68;60,67;"prose"
"D1";6;1290;61,03;62,32;"prose"
"D2";10;2240;2,22;4,46;"prose"
"D2";3;864;5,07;5,934;"prose"
"D2";5;1390;5,955;7,345;"prose"
"D2";8;1735;8,007;9,742;"prose"
"D2";7;1287;10,425;11,712;"prose"
"D2";7;1691;12,462;14,153;"prose"
"D2";6;1603;14,521;16,124;"prose"
"D2";24;4687;17,253;21,94;"prose"
"D2";6;1105;22,656;23,761;"prose"
"D2";2;581;23,985;24,566;"prose"
"D2";2;760,999999999999;24,626;25,387;"prose"
"D2";4;1447;26,178;27,625;"prose"
"D2";10;3597;28,327;31,924;"prose"
"D2";7;1970;32,522;34,492;"prose"
"D2";16;5029;35,596;40,625;"prose"
"D2";8;3284,00000000001;41,596;44,88;"prose"
"D2";6;1403;45,298;46,701;"prose"
"D2";6;2403;47,82;50,223;"prose"
"D2";12;4106;50,552;54,658;"prose"
"D2";9;3128;55,02;58,148;"prose"
"D2";9;3023;59,062;62,085;"prose"
"D2";6;3298;62,19;65,488;"prose"
"D2";9;2426;65,786;68,212;"prose"
"D2";8;2361;69,127;71,488;"prose"
"D2";4;1042,99999999999;73,233;74,276;"prose"
"D2";4;1234,00000000001;74,85;76,084;"prose"
"D2";3;1426;76,382;77,808;"prose"
